metrica,tipo_operacion,variacion_medida
181,AND,14.471428571428572
235,OR,30.9
181,OR,30.9
69,AND,28.814285714285713
77,AND,28.814285714285713
69,OR,14.4
77,OR,14.4
134,AND,4.385714285714286
288,AND,4.385714285714286
134,OR,23.15714285714286
288,OR,23.15714285714286
82,AND,1.0
221,AND,1.0
82,OR,33.65714285714286
221,OR,33.65714285714286
360,AND,16.6
349,AND,16.6
360,OR,24.557142857142857
349,OR,24.557142857142857
166,AND,17.942857142857143
320,AND,17.942857142857143
166,OR,44.01428571428571
320,OR,44.01428571428571
59,AND,9.471428571428572
212,AND,9.471428571428572
59,OR,10.614285714285714
212,OR,10.614285714285714
329,AND,23.814285714285713
163,AND,23.814285714285713
329,OR,34.48571428571429
163,OR,34.48571428571429
215,AND,11.242857142857142
283,AND,11.242857142857142
215,OR,20.87142857142857
283,OR,20.87142857142857
137,AND,7.328571428571428
366,AND,7.328571428571428
137,OR,22.985714285714284
366,OR,22.985714285714284
302,AND,17.9
110,AND,17.9
302,OR,32.81428571428572
110,OR,32.81428571428572
147,AND,1.0
61,AND,1.0
147,OR,14.5
61,OR,14.5
260,AND,14.085714285714285
369,AND,14.085714285714285
260,OR,21.257142857142856
369,OR,21.257142857142856
51,AND,5.042857142857143
32,AND,5.042857142857143
51,OR,8.7
32,OR,8.7
75,AND,1.0
108,AND,1.0
75,OR,12.557142857142857
108,OR,12.557142857142857
288,AND,1.0
349,AND,1.0
288,OR,30.757142857142856
349,OR,30.757142857142856
319,AND,27.1
198,AND,27.1
319,OR,30.271428571428572
198,OR,30.271428571428572
164,AND,4.128571428571429
125,AND,4.128571428571429
164,OR,17.542857142857144
125,OR,17.542857142857144
352,AND,11.6
138,AND,11.6
352,OR,22.385714285714286
138,OR,22.385714285714286
107,AND,21.6
313,AND,21.6
107,OR,27.942857142857143
313,OR,27.942857142857143
259,AND,17.02857142857143
25,AND,17.02857142857143
259,OR,5.914285714285715
25,OR,5.914285714285715
295,AND,15.7
210,AND,15.7
295,OR,23.885714285714286
210,OR,23.885714285714286
280,AND,7.542857142857143
265,AND,7.542857142857143
280,OR,30.314285714285713
265,OR,30.314285714285713
358,AND,6.914285714285715
51,AND,6.914285714285715
358,OR,26.32857142857143
51,OR,26.32857142857143
266,AND,6.357142857142857
84,AND,6.357142857142857
266,OR,15.785714285714286
84,OR,15.785714285714286
132,AND,5.057142857142857
50,AND,5.057142857142857
132,OR,16.614285714285714
50,OR,16.614285714285714
187,AND,3.757142857142857
262,AND,3.757142857142857
187,OR,18.585714285714285
262,OR,18.585714285714285
31,AND,10.685714285714285
294,AND,10.685714285714285
31,OR,17.257142857142856
294,OR,17.257142857142856
260,AND,1.0
345,AND,1.0
260,OR,30.47142857142857
345,OR,30.47142857142857
152,AND,2.4
66,AND,2.4
152,OR,13.842857142857143
66,OR,13.842857142857143
144,AND,2.4285714285714284
160,AND,2.4285714285714284
144,OR,23.4
160,OR,23.4
233,AND,14.2
98,AND,14.2
233,OR,27.9
98,OR,27.9
75,AND,3.2714285714285714
368,AND,3.2714285714285714
75,OR,22.47142857142857
368,OR,22.47142857142857
291,AND,23.114285714285714
176,AND,23.114285714285714
291,OR,32.0
176,OR,32.0
153,AND,5.857142857142857
73,AND,5.857142857142857
153,OR,18.214285714285715
73,OR,18.214285714285715
224,AND,10.185714285714285
241,AND,10.185714285714285
224,OR,39.7
241,OR,39.7
63,AND,4.257142857142857
155,AND,4.257142857142857
63,OR,25.9
155,OR,25.9
108,AND,1.0
82,AND,1.0
108,OR,14.314285714285715
82,OR,14.314285714285715
288,AND,1.0
263,AND,1.0
288,OR,27.928571428571427
263,OR,27.928571428571427
87,AND,8.685714285714285
110,AND,8.685714285714285
87,OR,29.385714285714286
110,OR,29.385714285714286
201,AND,25.957142857142856
326,AND,25.957142857142856
201,OR,29.228571428571428
326,OR,29.228571428571428
185,AND,23.957142857142856
357,AND,23.957142857142856
185,OR,31.685714285714287
357,OR,31.685714285714287
161,AND,10.342857142857143
322,AND,10.342857142857143
161,OR,20.2
322,OR,20.2
58,AND,1.0
205,AND,1.0
58,OR,14.957142857142857
205,OR,14.957142857142857
40,AND,5.685714285714286
251,AND,5.685714285714286
40,OR,22.82857142857143
251,OR,22.82857142857143
235,AND,1.0
122,AND,1.0
235,OR,41.214285714285715
122,OR,41.214285714285715
349,AND,18.214285714285715
354,AND,18.214285714285715
349,OR,23.285714285714285
354,OR,23.285714285714285
367,AND,1.0
261,AND,1.0
367,OR,29.62857142857143
261,OR,29.62857142857143
150,AND,1.0
303,AND,1.0
150,OR,33.642857142857146
303,OR,33.642857142857146
303,AND,18.4
183,AND,18.4
303,OR,26.7
183,OR,26.7
152,AND,10.985714285714286
170,AND,10.985714285714286
152,OR,23.614285714285714
170,OR,23.614285714285714
216,AND,1.0
344,AND,1.0
216,OR,31.285714285714285
344,OR,31.285714285714285
135,AND,16.52857142857143
360,AND,16.52857142857143
135,OR,35.857142857142854
360,OR,35.857142857142854
231,AND,1.0
155,AND,1.0
231,OR,26.085714285714285
155,OR,26.085714285714285
336,AND,13.542857142857143
165,AND,13.542857142857143
336,OR,38.31428571428572
165,OR,38.31428571428572
172,AND,16.142857142857142
234,AND,16.142857142857142
172,OR,39.885714285714286
234,OR,39.885714285714286
38,AND,3.5
220,AND,3.5
38,OR,21.8
220,OR,21.8
263,AND,1.0
120,AND,1.0
263,OR,18.957142857142856
120,OR,18.957142857142856
184,AND,6.1
258,AND,6.1
184,OR,37.871428571428574
258,OR,37.871428571428574
118,AND,22.614285714285714
33,AND,22.614285714285714
118,OR,26.32857142857143
33,OR,26.32857142857143
44,AND,1.0
277,AND,1.0
44,OR,28.5
277,OR,28.5
261,AND,5.142857142857143
152,AND,5.142857142857143
261,OR,18.3
152,OR,18.3
255,AND,19.65714285714286
291,AND,19.65714285714286
255,OR,31.357142857142858
291,OR,31.357142857142858
152,AND,13.957142857142857
344,AND,13.957142857142857
152,OR,32.385714285714286
344,OR,32.385714285714286
353,AND,1.0
70,AND,1.0
353,OR,22.414285714285715
70,OR,22.414285714285715
244,AND,11.8
328,AND,11.8
244,OR,29.15714285714286
328,OR,29.15714285714286
224,AND,11.128571428571428
180,AND,11.128571428571428
224,OR,45.285714285714285
180,OR,45.285714285714285
286,AND,4.414285714285715
101,AND,4.414285714285715
286,OR,21.814285714285713
101,OR,21.814285714285713
128,AND,4.5
310,AND,4.5
128,OR,30.071428571428573
310,OR,30.071428571428573
271,AND,13.057142857142857
133,AND,13.057142857142857
271,OR,14.442857142857143
133,OR,14.442857142857143
263,AND,14.585714285714285
251,AND,14.585714285714285
263,OR,23.15714285714286
251,OR,23.15714285714286
191,AND,5.4
78,AND,5.4
191,OR,12.271428571428572
78,OR,12.271428571428572
318,AND,25.5
69,AND,25.5
318,OR,21.857142857142858
69,OR,21.857142857142858
38,AND,12.0
149,AND,12.0
38,OR,11.557142857142857
149,OR,11.557142857142857
259,AND,9.32857142857143
247,AND,9.32857142857143
259,OR,19.928571428571427
247,OR,19.928571428571427
216,AND,25.571428571428573
331,AND,25.571428571428573
216,OR,38.32857142857143
331,OR,38.32857142857143
229,AND,16.84285714285714
101,AND,16.84285714285714
229,OR,20.957142857142856
101,OR,20.957142857142856
143,AND,10.542857142857143
185,AND,10.542857142857143
143,OR,16.15714285714286
185,OR,16.15714285714286
358,AND,14.157142857142857
263,AND,14.157142857142857
358,OR,18.65714285714286
263,OR,18.65714285714286
179,AND,8.9
271,AND,8.9
179,OR,19.514285714285716
271,OR,19.514285714285716
68,AND,6.3428571428571425
71,AND,6.3428571428571425
68,OR,17.6
71,OR,17.6
226,AND,5.2
42,AND,5.2
226,OR,34.614285714285714
42,OR,34.614285714285714
326,AND,18.9
180,AND,18.9
326,OR,34.642857142857146
180,OR,34.642857142857146
344,AND,24.428571428571427
333,AND,24.428571428571427
344,OR,30.914285714285715
333,OR,30.914285714285715
88,AND,16.685714285714287
295,AND,16.685714285714287
88,OR,35.885714285714286
295,OR,35.885714285714286
327,AND,12.82857142857143
203,AND,12.82857142857143
327,OR,37.5
203,OR,37.5
142,AND,1.0
307,AND,1.0
142,OR,28.485714285714284
307,OR,28.485714285714284
265,AND,1.0
213,AND,1.0
265,OR,25.12857142857143
213,OR,25.12857142857143
71,AND,13.6
287,AND,13.6
71,OR,21.271428571428572
287,OR,21.271428571428572
290,AND,1.0
193,AND,1.0
290,OR,32.91428571428571
193,OR,32.91428571428571
117,AND,14.014285714285714
194,AND,14.014285714285714
117,OR,21.514285714285716
194,OR,21.514285714285716
278,AND,12.814285714285715
100,AND,12.814285714285715
278,OR,32.91428571428571
100,OR,32.91428571428571
270,AND,16.714285714285715
60,AND,16.714285714285715
270,OR,26.87142857142857
60,OR,26.87142857142857
281,AND,1.0
341,AND,1.0
281,OR,35.2
341,OR,35.2
82,AND,5.771428571428571
30,AND,5.771428571428571
82,OR,8.785714285714286
30,OR,8.785714285714286
28,AND,5.257142857142857
338,AND,5.257142857142857
28,OR,20.02857142857143
338,OR,20.02857142857143
277,AND,11.257142857142858
126,AND,11.257142857142858
277,OR,36.6
126,OR,36.6
327,AND,6.442857142857143
245,AND,6.442857142857143
327,OR,20.15714285714286
245,OR,20.15714285714286
197,AND,1.0
367,AND,1.0
197,OR,36.58571428571429
367,OR,36.58571428571429
315,AND,20.1
328,AND,20.1
315,OR,30.32857142857143
328,OR,30.32857142857143
38,AND,7.285714285714286
366,AND,7.285714285714286
38,OR,24.9
366,OR,24.9
195,AND,10.142857142857142
290,AND,10.142857142857142
195,OR,18.071428571428573
290,OR,18.071428571428573
178,AND,9.871428571428572
125,AND,9.871428571428572
178,OR,41.1
125,OR,41.1
26,AND,1.0
190,AND,1.0
26,OR,16.9
190,OR,16.9
342,AND,17.942857142857143
368,AND,17.942857142857143
342,OR,21.185714285714287
368,OR,21.185714285714287
33,AND,19.757142857142856
299,AND,19.757142857142856
33,OR,12.842857142857143
299,OR,12.842857142857143
133,AND,6.3
86,AND,6.3
133,OR,13.114285714285714
86,OR,13.114285714285714
187,AND,11.614285714285714
171,AND,11.614285714285714
187,OR,30.7
171,OR,30.7
